Node,Time,Latency,Throughput
0,0.005959033966064453,32,74
1,0.005959033966064453,49,52
2,0.005959033966064453,33,62
3,0.005959033966064453,45,68
4,0.005959033966064453,16,65
5,0.005959033966064453,28,72
6,0.005959033966064453,44,56
7,0.005959033966064453,23,90
8,0.005959033966064453,15,67
9,0.005959033966064453,20,55
10,0.005959033966064453,19,45
11,0.005959033966064453,18,53
12,0.005959033966064453,1,998
0,5.008575201034546,34,79
1,5.008575201034546,5020,34
2,5.008575201034546,3012,37
3,5.008575201034546,42,66
4,5.008575201034546,20,55
5,5.008575201034546,2914,37
6,5.008575201034546,48,58
7,5.008575201034546,2814,42
8,5.008575201034546,15,71
9,5.008575201034546,2008,37
10,5.008575201034546,2309,30
11,5.008575201034546,161242,16
12,5.008575201034546,10040,362
0,10.01326036453247,30,89
1,10.01326036453247,5015,36
2,10.01326036453247,3010,33
3,10.01326036453247,37,57
4,10.01326036453247,25,54
5,10.01326036453247,2912,44
6,10.01326036453247,43,55
7,10.01326036453247,2812,34
8,10.01326036453247,15,77
9,10.01326036453247,2012,36
10,10.01326036453247,2310,35
11,10.01326036453247,161242,26
12,10.01326036453247,10038,352
0,15.016215801239014,27,95
1,15.016215801239014,5010,42
2,15.016215801239014,3012,30
3,15.016215801239014,41,56
4,15.016215801239014,22,64
5,15.016215801239014,2908,50
6,15.016215801239014,48,47
7,15.016215801239014,2808,43
8,15.016215801239014,11,85
9,15.016215801239014,2010,26
10,15.016215801239014,2312,37
11,15.016215801239014,161237,32
12,15.016215801239014,10039,343
0,20.02239203453064,25,90
1,20.02239203453064,5013,52
2,20.02239203453064,3015,35
3,20.02239203453064,38,64
4,20.02239203453064,21,54
5,20.02239203453064,2907,55
6,20.02239203453064,52,43
7,20.02239203453064,2808,45
8,20.02239203453064,6,86
9,20.02239203453064,2013,27
10,20.02239203453064,2308,39
11,20.02239203453064,161236,31
12,20.02239203453064,10036,337
0,25.025118827819824,28,95
1,25.025118827819824,5014,60
2,25.025118827819824,3013,28
3,25.025118827819824,41,56
4,25.025118827819824,20,47
5,25.025118827819824,2910,57
6,25.025118827819824,51,40
7,25.025118827819824,2813,38
8,25.025118827819824,7,79
