Node,Time,Latency,Throughput
0,0.0019855499267578125,27,97
1,0.0019855499267578125,5016,16
2,0.0019855499267578125,3038,1
3,0.0019855499267578125,64,35
4,0.0019855499267578125,28,66
5,0.0019855499267578125,2916,91
6,0.0019855499267578125,50,1
7,0.0019855499267578125,2813,37
8,0.0019855499267578125,9,100
9,0.0019855499267578125,2016,17
10,0.0019855499267578125,2315,54
11,0.0019855499267578125,161224,1
12,0.0019855499267578125,10020,366
13,0.0019855499267578125,5,996
0,5.013179540634155,25,100
1,5.013179540634155,503606,12
2,5.013179540634155,3037,6
3,5.013179540634155,65,44
4,5.013179540634155,24,76
5,5.013179540634155,292756,43
6,5.013179540634155,48,2
7,5.013179540634155,283108,18
8,5.013179540634155,9,103
9,5.013179540634155,202607,8
10,5.013179540634155,2312,51
11,5.013179540634155,161227,1
12,5.013179540634155,1006008,216
13,5.013179540634155,20080,361
0,10.029025316238403,20,94
1,10.029025316238403,503610,12
2,10.029025316238403,3040,8
3,10.029025316238403,70,37
4,10.029025316238403,27,67
5,10.029025316238403,292756,49
6,10.029025316238403,51,1
7,10.029025316238403,283112,12
8,10.029025316238403,4,98
9,10.029025316238403,202610,11
10,10.029025316238403,2313,43
11,10.029025316238403,161229,1
12,10.029025316238403,1006006,206
13,10.029025316238403,20083,360
0,15.04028606414795,23,101
1,15.04028606414795,503606,18
2,15.04028606414795,3035,4
3,15.04028606414795,74,35
4,15.04028606414795,32,75
5,15.04028606414795,292752,57
6,15.04028606414795,48,1
7,15.04028606414795,283116,20
8,15.04028606414795,8,106
9,15.04028606414795,202612,7
10,15.04028606414795,2318,49
11,15.04028606414795,161231,1
12,15.04028606414795,1006011,205
13,15.04028606414795,20086,353
0,20.047943592071533,27,103
1,20.047943592071533,503606,23
2,20.047943592071533,3036,1
3,20.047943592071533,69,29
4,20.047943592071533,34,66
5,20.047943592071533,292748,59
6,20.047943592071533,52,1
7,20.047943592071533,283119,28
8,20.047943592071533,8,109
9,20.047943592071533,202610,1
10,20.047943592071533,2319,44
11,20.047943592071533,161235,3
12,20.047943592071533,1006013,199
13,20.047943592071533,20082,349
0,25.052237033843994,27,101
1,25.052237033843994,503603,17
2,25.052237033843994,3032,1
3,25.052237033843994,69,27
4,25.052237033843994,30,58
5,25.052237033843994,292748,52
6,25.052237033843994,54,1
7,25.052237033843994,283118,27
8,25.052237033843994,5,111
9,25.052237033843994,202610,5
10,25.052237033843994,2319,34
11,25.052237033843994,161239,13
12,25.052237033843994,1006012,193
13,25.052237033843994,20079,341
0,30.05949306488037,22,104
1,30.05949306488037,503605,11
2,30.05949306488037,3035,9
3,30.05949306488037,65,25
4,30.05949306488037,31,66
5,30.05949306488037,292743,49
6,30.05949306488037,55,1
7,30.05949306488037,283118,34
8,30.05949306488037,6,120
9,30.05949306488037,202612,1
10,30.05949306488037,2315,33
11,30.05949306488037,161236,17
12,30.05949306488037,1006009,196
13,30.05949306488037,20076,332
0,35.07440757751465,24,105
1,35.07440757751465,503601,1
2,35.07440757751465,3032,7
3,35.07440757751465,66,27
4,35.07440757751465,32,71
5,35.07440757751465,292745,58
6,35.07440757751465,52,1
7,35.07440757751465,283117,33
8,35.07440757751465,3,117
9,35.07440757751465,202614,10
10,35.07440757751465,2314,43
11,35.07468938827515,161234,25
12,35.07468938827515,1006009,194
13,35.07468938827515,20078,329
0,40.07917809486389,21,101
1,40.07917809486389,503596,1
2,40.07917809486389,3030,1
3,40.07917809486389,65,33
4,40.07917809486389,30,76
5,40.07917809486389,292749,55
6,40.07917809486389,48,1
7,40.07917809486389,283115,28
8,40.07917809486389,8,116
9,40.07917809486389,202616,1
10,40.07917809486389,2311,44
11,40.07917809486389,161238,17
12,40.07917809486389,1006009,199
13,40.07917809486389,20083,321
0,45.08968949317932,25,102
1,45.08968949317932,503601,1
2,45.08968949317932,3027,1
3,45.08968949317932,64,25
4,45.08968949317932,29,76
5,45.08968949317932,292747,59
6,45.08968949317932,47,1
7,45.08968949317932,283113,19
8,45.08968949317932,10,106
9,45.08968949317932,202614,6
10,45.08968949317932,2310,39
11,45.08968949317932,161234,27
12,45.08968949317932,1006008,199
13,45.08968949317932,20079,317
0,50.105443477630615,28,104
1,50.105443477630615,503601,1
2,50.105443477630615,3029,1
3,50.105443477630615,68,17
4,50.105443477630615,26,84
5,50.105443477630615,292745,67
6,50.105443477630615,47,1
7,50.105443477630615,283114,29
8,50.105443477630615,12,102
9,50.105443477630615,202612,16
10,50.105443477630615,2308,36
11,50.105443477630615,161229,26
12,50.105443477630615,1006003,206
13,50.105443477630615,20078,320
0,55.12045907974243,29,94
1,55.12045907974243,503605,7
2,55.12045907974243,3034,1
3,55.12045907974243,64,25
4,55.12045907974243,30,88
5,55.12045907974243,292746,61
6,55.12045907974243,43,2
7,55.12045907974243,283115,32
8,55.12045907974243,12,92
9,55.12045907974243,202610,22
