Node,Time,Latency,Throughput
0,0.0020127296447753906,25,78
1,0.0020127296447753906,35,74
2,0.0020127296447753906,47,67
3,0.0020127296447753906,17,71
4,0.0020127296447753906,30,81
5,0.0020127296447753906,40,69
6,0.0020127296447753906,47,70
7,0.0020127296447753906,44,57
8,0.0020127296447753906,42,73
9,0.0020127296447753906,31,77
10,0.0020127296447753906,24,79
11,0.0020127296447753906,30,88
12,0.0020127296447753906,4,992
0,5.010889768600464,23,77
1,5.010889768600464,39,84
2,5.010889768600464,5220,44
3,5.010889768600464,18,78
4,5.010889768600464,3012,43
5,5.010889768600464,4221,30
6,5.010889768600464,4216,39
7,5.010889768600464,4221,23
8,5.010889768600464,4016,45
9,5.010889768600464,31,73
10,5.010889768600464,2911,43
11,5.010889768600464,2710,55
12,5.010889768600464,30220,354
0,10.01829743385315,24,79
1,10.01829743385315,39,94
2,10.01829743385315,5224,53
3,10.01829743385315,20,87
4,10.01829743385315,3008,51
5,10.01829743385315,4217,26
6,10.01829743385315,4214,42
7,10.01829743385315,4219,29
8,10.01829743385315,4012,47
9,10.01829743385315,29,82
10,10.01829743385315,2909,41
11,10.01829743385315,2715,63
12,10.01829743385315,30223,354
0,15.035536289215088,25,76
1,15.035536289215088,36,85
2,15.035536289215088,5220,45
3,15.035536289215088,22,94
4,15.035536289215088,3006,51
5,15.035536289215088,4212,28
6,15.035536289215088,4219,37
7,15.035536289215088,4224,19
8,15.035536289215088,4007,49
9,15.035536289215088,28,84
10,15.035536289215088,2907,51
11,15.035536289215088,2716,56
12,15.035536289215088,30223,345
0,20.05190896987915,28,79
1,20.05190896987915,38,82
2,20.05190896987915,5217,38
3,20.05190896987915,20,86
4,20.05190896987915,3005,57
5,20.05190896987915,4216,30
6,20.05190896987915,4224,38
7,20.05190896987915,4227,13
8,20.05190896987915,4007,49
9,20.05190896987915,27,91
10,20.05190896987915,2911,53
11,20.05190896987915,2716,51
12,20.05190896987915,30227,350
0,25.055968761444092,26,87
1,25.055968761444092,34,91
2,25.055968761444092,5220,36
3,25.055968761444092,22,86
4,25.055968761444092,3002,57
5,25.055968761444092,4215,39
6,25.055968761444092,4219,38
7,25.055968761444092,4228,3
8,25.055968761444092,4012,42
9,25.055968761444092,28,95
10,25.055968761444092,2912,57
11,25.055968761444092,2715,54
12,25.055968761444092,30231,341
0,30.076950788497925,29,95
1,30.076950788497925,34,100
2,30.076950788497925,5225,40
3,30.076950788497925,23,77
4,30.076950788497925,3003,60
5,30.076950788497925,4214,44
6,30.076950788497925,4223,36
7,30.076950788497925,4227,3
8,30.076950788497925,4016,38
9,30.076950788497925,25,100
10,30.076950788497925,2910,65
11,30.076950788497925,2716,55
12,30.076950788497925,30229,331
0,35.092727184295654,34,96
1,35.092727184295654,30,102
2,35.092727184295654,5228,42
3,35.092727184295654,18,75
4,35.092727184295654,3006,63
5,35.092727184295654,4214,42
6,35.092727184295654,4221,30
7,35.092727184295654,4230,1
8,35.092727184295654,4011,31
9,35.092727184295654,28,106
10,35.092727184295654,2908,72
11,35.092727184295654,2711,52
12,35.092727184295654,30231,331
0,40.10165739059448,35,93
1,40.10165739059448,25,98
2,40.10165739059448,5230,47
3,40.10165739059448,23,79
4,40.10165739059448,3008,61
5,40.10165739059448,4211,38
6,40.10165739059448,4218,30
7,40.10165739059448,4226,1
8,40.10165739059448,4013,27
9,40.10165739059448,33,107
10,40.10165739059448,2907,66
11,40.10165739059448,2709,44
12,40.10165739059448,30233,326
0,45.11323142051697,30,99
1,45.11323142051697,29,98
2,45.11323142051697,5225,55
3,45.11323142051697,27,75
4,45.11323142051697,3012,64
5,45.11323142051697,4213,41
6,45.11323142051697,4215,40
7,45.11323142051697,4226,9
8,45.11323142051697,4008,27
9,45.11323142051697,28,111
10,45.11323142051697,2909,68
11,45.11323142051697,2706,34
12,45.11323142051697,30237,316
0,50.12754559516907,29,102
1,50.12754559516907,25,89
2,50.12754559516907,5230,51
3,50.12754559516907,32,77
4,50.12754559516907,3017,59
5,50.12754559516907,4211,50
6,50.12754559516907,4217,35
7,50.12754559516907,4221,4
8,50.12754559516907,4008,24
9,50.12754559516907,23,109
10,50.12754559516907,2906,72
11,50.12754559516907,2704,39
12,50.12754559516907,30235,322
0,55.135154008865356,30,95
1,55.135154008865356,24,98
2,55.135154008865356,5229,54
3,55.135154008865356,35,76
4,55.135154008865356,3020,59
5,55.135154008865356,4206,60
6,55.135154008865356,4221,39
7,55.135154008865356,4226,1
8,55.135154008865356,4010,22
9,55.135154008865356,19,103
10,55.135154008865356,2907,69
11,55.135154008865356,2702,37
12,55.135154008865356,30230,327
0,60.1463885307312,30,99
1,60.1463885307312,28,101
2,60.1463885307312,5230,47
3,60.1463885307312,39,73
4,60.1463885307312,3019,61
5,60.1463885307312,4207,54
6,60.1463885307312,4217,33
7,60.1463885307312,4221,1
8,60.14721179008484,4005,32
9,60.14721179008484,21,109
10,60.14721179008484,2906,65
11,60.14721179008484,2698,44
12,60.14721179008484,30229,328
0,65.16385412216187,33,98
1,65.16385412216187,24,99
2,65.16385412216187,5233,46
3,65.16385412216187,38,83
4,65.16385412216187,3017,60
5,65.16385412216187,4203,54
6,65.16385412216187,4215,27
7,65.16385412216187,4225,1
8,65.16385412216187,4000,32
9,65.16385412216187,24,111
10,65.16385412216187,2906,58
11,65.16385412216187,2695,41
12,65.16385412216187,30230,320
0,70.17728352546692,29,98
1,70.17728352546692,21,103
2,70.17728352546692,5233,37
3,70.17728352546692,39,89
4,70.17728352546692,3012,61
5,70.17728352546692,4200,58
6,70.17728352546692,4214,26
7,70.17728352546692,4220,11
8,70.17728352546692,3995,35
9,70.17728352546692,26,114
10,70.17728352546692,2911,64
11,70.17728352546692,2700,49
12,70.17728352546692,30228,321
0,75.18946313858032,33,104
1,75.18946313858032,20,102
2,75.18946313858032,5237,38
3,75.18946313858032,37,93
4,75.18946313858032,3014,56
5,75.18946313858032,4201,51
6,75.18946313858032,4217,34
7,75.18946313858032,4216,4
8,75.18946313858032,3995,43
9,75.18946313858032,29,120
10,75.18946313858032,2909,58
11,75.18946313858032,2695,55
12,75.18946313858032,30231,331
0,80.19275689125061,30,98
1,80.19275689125061,15,102
2,80.19275689125061,5239,33
3,80.19275689125061,40,90
4,80.19275689125061,3009,58
5,80.19275689125061,4197,55
6,80.19275689125061,4220,32
7,80.19275689125061,4214,1
8,80.19275689125061,3995,53
9,80.19275689125061,26,112
10,80.19275689125061,2905,61
11,80.19275689125061,2694,58
12,80.19275689125061,30231,322
0,85.20268845558167,35,102
1,85.20268845558167,12,103
2,85.20268845558167,5240,26
3,85.20268845558167,45,99
4,85.20268845558167,3011,56
5,85.20268845558167,4200,46
6,85.20268845558167,4218,33
7,85.20268845558167,4213,1
8,85.20268845558167,3991,46
9,85.20268845558167,22,115
10,85.20268845558167,2901,58
11,85.20268845558167,2691,51
12,85.20268845558167,30230,317
